# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0222,06:15:20.07,-33:38:59.12,SWOPE,r,300.0,0.0006946402093646048,False
S008ABE0223,06:03:06.66,-29:10:40.64,SWOPE,r,300.0,0.0006858510785652368,False
S008ABE0224,06:13:41.41,-37:07:40.16,SWOPE,r,300.0,0.0006848905991964953,False
S008ABE0225,06:03:04.71,-28:40:51.92,SWOPE,r,300.0,0.0006804988923258648,False
S008ABE0226,06:16:02.66,-36:37:51.44,SWOPE,r,300.0,0.0006775078486376292,False
S008ABE0227,05:56:18.52,-27:41:14.48,SWOPE,r,300.0,0.000667378666908466,False
S008ABE0228,05:54:04.97,-27:11:25.76,SWOPE,r,300.0,0.0006617183896001969,False
S008ABE0229,06:03:48.44,-37:37:28.88,SWOPE,r,300.0,0.0006510503467530257,False
S008ABE0230,05:53:49.53,-37:07:40.16,SWOPE,r,300.0,0.0006419295422562686,False
S008ABE0231,05:46:37.48,-35:08:25.28,SWOPE,r,300.0,0.0006411509157346253,False
S008ABE0232,06:15:47.76,-35:38:14.00,SWOPE,r,300.0,0.0006322233471418676,False
S008ABE0233,05:47:33.39,-25:12:10.88,SWOPE,r,300.0,0.0006276581640417948,False
S008ABE0234,06:06:22.47,-38:07:17.60,SWOPE,r,300.0,0.0006262797632919695,False
S008ABE0235,06:15:26.74,-34:08:47.84,SWOPE,r,300.0,0.000621427528720783,False
S008ABE0236,05:48:57.29,-36:08:02.72,SWOPE,r,300.0,0.0006160646078000975,False
S008ABE0237,06:10:07.11,-30:40:06.80,SWOPE,r,300.0,0.0006143957360942705,False
S008ABE0238,05:58:32.66,-27:41:14.48,SWOPE,r,300.0,0.0006098930842350148,False
S008ABE0239,06:15:13.56,-33:09:10.40,SWOPE,r,300.0,0.000604380083561273,False
S008ABE0240,05:47:19.47,-28:11:03.20,SWOPE,r,300.0,0.0006043336095493678,False
S008ABE0241,06:15:55.12,-36:08:02.72,SWOPE,r,300.0,0.0005928501192947196,False
S008ABE0242,06:05:22.70,-29:10:40.64,SWOPE,r,300.0,0.0005905819876740727,False
S008ABE0243,05:45:01.53,-28:40:51.92,SWOPE,r,300.0,0.0005876630544377952,False
S008ABE0244,05:58:49.51,-38:07:17.60,SWOPE,r,300.0,0.0005859118674913739,False
